구분	일자 일시	차량구분	위도	경도
RM	2024-11-30 00:05:16.00	1222985050	37.648220	126.889632
RM	2024-11-30 00:05:17.00	1222985050	37.648232	126.889632
RM	2024-11-30 00:05:18.00	1222985050	37.648232	126.889632
RM	2024-11-30 00:05:19.00	1222985050	37.648232	126.889632
RM	2024-11-30 00:05:20.00	1222985050	37.648232	126.889632
RM	2024-11-30 00:05:21.00	1222985050	37.648232	126.889632
RM	2024-11-30 00:05:22.00	1222985050	37.648232	126.889632
RM	2024-11-30 00:05:23.00	1222985050	37.648276	126.889696
RM	2024-11-30 00:05:24.00	1222985050	37.648276	126.889696
RM	2024-11-30 00:05:25.00	1222985050	37.648288	126.889728
RM	2024-11-30 00:05:26.00	1222985050	37.648288	126.889728
RM	2024-11-30 00:05:27.00	1222985050	37.648288	126.889728
RM	2024-11-30 00:05:28.00	1222985050	37.648288	126.889728
RM	2024-11-30 00:05:29.00	1222985050	37.648288	126.889728
RM	2024-11-30 00:05:30.00	1222985050	37.648288	126.889728
RM	2024-11-30 00:05:31.00	1222985050	37.648288	126.889728
RM	2024-11-30 00:05:32.00	1222985050	37.648288	126.889728
RM	2024-11-30 00:05:33.00	1222985050	37.648288	126.889728
RM	2024-11-30 00:05:34.00	1222985050	37.648288	126.889728
RM	2024-11-30 00:05:35.00	1222985050	37.648288	126.889728
RM	2024-11-30 00:05:36.00	1222985050	37.648288	126.889728
RM	2024-11-30 00:05:37.00	1222985050	37.648288	126.889728
RM	2024-11-30 00:05:38.00	1222985050	37.648288	126.889728
RM	2024-11-30 00:05:39.00	1222985050	37.648288	126.889728
RM	2024-11-30 00:05:40.00	1222985050	37.648288	126.889728
RM	2024-11-30 00:05:41.00	1222985050	37.648288	126.889728
RM	2024-11-30 00:05:42.00	1222985050	37.648288	126.889728
RM	2024-11-30 00:05:43.00	1222985050	37.648288	126.889728
RM	2024-11-30 00:05:44.00	1222985050	37.648288	126.889728
RM	2024-11-30 00:05:45.00	1222985050	37.648288	126.889728
RM	2024-11-30 00:05:46.00	1222985050	37.648288	126.889728
RM	2024-11-30 00:05:47.00	1222985050	37.648288	126.889728
RM	2024-11-30 00:05:48.00	1222985050	37.648288	126.889728
RM	2024-11-30 00:05:49.00	1222985050	37.648288	126.889728
RM	2024-11-30 00:05:50.00	1222985050	37.648288	126.889728
RM	2024-11-30 00:05:51.00	1222985050	37.648288	126.889728
RM	2024-11-30 00:05:52.00	1222985050	37.648288	126.889728
RM	2024-11-30 00:05:53.00	1222985050	37.648288	126.889728
RM	2024-11-30 00:05:54.00	1222985050	37.648288	126.889728
RM	2024-11-30 00:05:55.00	1222985050	37.648288	126.889728
RM	2024-11-30 00:05:56.00	1222985050	37.648288	126.889728
RM	2024-11-30 00:05:57.00	1222985050	37.648288	126.889728
RM	2024-11-30 00:05:58.00	1222985050	37.648288	126.889728
RM	2024-11-30 00:05:59.00	1222985050	37.648288	126.889728
RM	2024-11-30 00:06:00.00	1222985050	37.648288	126.889728
RM	2024-11-30 00:06:01.00	1222985050	37.648288	126.889728
RM	2024-11-30 00:06:02.00	1222985050	37.648288	126.889728
RM	2024-11-30 00:06:03.00	1222985050	37.648288	126.889728
RM	2024-11-30 00:06:04.00	1222985050	37.648288	126.889728
RM	2024-11-30 00:06:05.00	1222985050	37.648288	126.889728
RM	2024-11-30 00:06:06.00	1222985050	37.648260	126.889920
RM	2024-11-30 00:06:07.00	1222985050	37.648272	126.889944
RM	2024-11-30 00:06:08.00	1222985050	37.648296	126.889976
RM	2024-11-30 00:06:09.00	1222985050	37.648324	126.890024
RM	2024-11-30 00:06:10.00	1222985050	37.648352	126.890072
RM	2024-11-30 00:06:11.00	1222985050	37.648380	126.890144
RM	2024-11-30 00:06:12.00	1222985050	37.648404	126.890208
RM	2024-11-30 00:06:13.00	1222985050	37.648428	126.890264
RM	2024-11-30 00:06:14.00	1222985050	37.648452	126.890328
RM	2024-11-30 00:06:15.00	1222985050	37.648480	126.890400
RM	2024-11-30 00:06:16.00	1222985050	37.648504	126.890480
RM	2024-11-30 00:06:17.00	1222985050	37.648528	126.890560
RM	2024-11-30 00:06:18.00	1222985050	37.648552	126.890624
RM	2024-11-30 00:06:19.00	1222985050	37.648576	126.890696
RM	2024-11-30 00:06:20.00	1222985050	37.648600	126.890752
RM	2024-11-30 00:06:21.00	1222985050	37.648624	126.890816
RM	2024-11-30 00:06:22.00	1222985050	37.648648	126.890880
RM	2024-11-30 00:06:23.00	1222985050	37.648672	126.890928
RM	2024-11-30 00:06:24.00	1222985050	37.648688	126.890992
RM	2024-11-30 00:06:25.00	1222985050	37.648720	126.891056
RM	2024-11-30 00:06:26.00	1222985050	37.648748	126.891112
RM	2024-11-30 00:06:27.00	1222985050	37.648772	126.891192
RM	2024-11-30 00:06:28.00	1222985050	37.648804	126.891264
RM	2024-11-30 00:06:29.00	1222985050	37.648840	126.891352
RM	2024-11-30 00:06:30.00	1222985050	37.648868	126.891440
RM	2024-11-30 00:06:31.00	1222985050	37.648900	126.891544
RM	2024-11-30 00:06:32.00	1222985050	37.648932	126.891640
RM	2024-11-30 00:06:33.00	1222985050	37.648960	126.891728
RM	2024-11-30 00:06:34.00	1222985050	37.648988	126.891808
RM	2024-11-30 00:06:35.00	1222985050	37.649012	126.891872
RM	2024-11-30 00:06:36.00	1222985050	37.649028	126.891912
RM	2024-11-30 00:06:37.00	1222985050	37.649040	126.891952
RM	2024-11-30 00:06:38.00	1222985050	37.649032	126.891984
RM	2024-11-30 00:06:39.00	1222985050	37.649000	126.891992
RM	2024-11-30 00:06:40.00	1222985050	37.648972	126.892008
RM	2024-11-30 00:06:41.00	1222985050	37.648944	126.892016
RM	2024-11-30 00:06:42.00	1222985050	37.648924	126.892024
RM	2024-11-30 00:06:43.00	1222985050	37.648908	126.892032
RM	2024-11-30 00:06:44.00	1222985050	37.648876	126.892040
RM	2024-11-30 00:06:45.00	1222985050	37.648844	126.892064
RM	2024-11-30 00:06:46.00	1222985050	37.648816	126.892080
RM	2024-11-30 00:06:47.00	1222985050	37.648776	126.892104
RM	2024-11-30 00:06:48.00	1222985050	37.648736	126.892128
RM	2024-11-30 00:06:49.00	1222985050	37.648684	126.892160
RM	2024-11-30 00:06:50.00	1222985050	37.648644	126.892208
RM	2024-11-30 00:06:51.00	1222985050	37.648600	126.892256
RM	2024-11-30 00:06:52.00	1222985050	37.648564	126.892296
RM	2024-11-30 00:06:53.00	1222985050	37.648524	126.892320
RM	2024-11-30 00:06:54.00	1222985050	37.648484	126.892352
RM	2024-11-30 00:06:55.00	1222985050	37.648444	126.892376
RM	2024-11-30 00:06:56.00	1222985050	37.648404	126.892408
RM	2024-11-30 00:06:57.00	1222985050	37.648364	126.892424
RM	2024-11-30 00:06:58.00	1222985050	37.648344	126.892424
RM	2024-11-30 00:06:59.00	1222985050	37.648344	126.892424
RM	2024-11-30 00:07:00.00	1222985050	37.648344	126.892408
RM	2024-11-30 00:07:01.00	1222985050	37.648340	126.892392
RM	2024-11-30 00:07:02.00	1222985050	37.648328	126.892384
RM	2024-11-30 00:07:03.00	1222985050	37.648320	126.892376
RM	2024-11-30 00:07:04.00	1222985050	37.648312	126.892368
RM	2024-11-30 00:07:05.00	1222985050	37.648296	126.892360
RM	2024-11-30 00:07:06.00	1222985050	37.648288	126.892336
RM	2024-11-30 00:07:07.00	1222985050	37.648272	126.892320
RM	2024-11-30 00:07:08.00	1222985050	37.648260	126.892304
RM	2024-11-30 00:07:09.00	1222985050	37.648236	126.892296
RM	2024-11-30 00:07:10.00	1222985050	37.648212	126.892272
RM	2024-11-30 00:07:11.00	1222985050	37.648192	126.892240
RM	2024-11-30 00:07:12.00	1222985050	37.648160	126.892208
RM	2024-11-30 00:07:13.00	1222985050	37.648136	126.892184
RM	2024-11-30 00:07:14.00	1222985050	37.648112	126.892176
RM	2024-11-30 00:07:15.00	1222985050	37.648096	126.892160
RM	2024-11-30 00:07:16.00	1222985050	37.648084	126.892152
RM	2024-11-30 00:07:17.00	1222985050	37.648072	126.892160
RM	2024-11-30 00:07:18.00	1222985050	37.648064	126.892128
RM	2024-11-30 00:07:19.00	1222985050	37.648068	126.892136
RM	2024-11-30 00:07:20.00	1222985050	37.648060	126.892128
RM	2024-11-30 00:07:21.00	1222985050	37.648052	126.892128
RM	2024-11-30 00:07:22.00	1222985050	37.648048	126.892136
RM	2024-11-30 00:07:23.00	1222985050	37.648048	126.892128
RM	2024-11-30 00:07:24.00	1222985050	37.648048	126.892128
RM	2024-11-30 00:07:25.00	1222985050	37.648048	126.892128
RM	2024-11-30 00:07:26.00	1222985050	37.648048	126.892128
RM	2024-11-30 00:07:27.00	1222985050	37.648048	126.892128
RM	2024-11-30 00:07:28.00	1222985050	37.648048	126.892128
RM	2024-11-30 00:07:29.00	1222985050	37.648048	126.892128
RM	2024-11-30 00:07:30.00	1222985050	37.648048	126.892128
RM	2024-11-30 00:07:31.00	1222985050	37.648048	126.892128
RM	2024-11-30 00:07:32.00	1222985050	37.648048	126.892128
RM	2024-11-30 00:07:33.00	1222985050	37.648048	126.892128
RM	2024-11-30 00:07:34.00	1222985050	37.648048	126.892128
RM	2024-11-30 00:07:35.00	1222985050	37.648048	126.892128
RM	2024-11-30 00:07:36.00	1222985050	37.648048	126.892128
RM	2024-11-30 00:07:37.00	1222985050	37.648048	126.892128
RM	2024-11-30 00:07:38.00	1222985050	37.648048	126.892128
